INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:Start simulation
INFO:root:> Time step 222, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.4016778650693595 seconds
INFO:root:> Time step 223, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.2801063761580735 seconds
INFO:root:> Time step 224, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.3360433590132743 seconds
INFO:root:> Time step 225, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.348892607027665 seconds
INFO:root:> Time step 226, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.2923318550456315 seconds
INFO:root:> Time step 227, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.3060351801104844 seconds
INFO:root:> Time step 228, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.32756855385378 seconds
INFO:root:> Time step 229, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.3505893649999052 seconds
INFO:root:> Time step 230, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.30411879112944 seconds
INFO:root:> Time step 231, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.306422207970172 seconds
INFO:root:> Time step 232, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.508805962977931 seconds
INFO:root:> Time step 233, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.4070473541505635 seconds
INFO:root:> Time step 234, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.3788521450478584 seconds
INFO:root:> Time step 235, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.390086418017745 seconds
INFO:root:> Time step 236, take action 3, instance reward 0.0, cumulative reward 2.0, used 3.3637893728446215 seconds
INFO:root:> Time step 237, take action 0, instance reward 0.0, cumulative reward 2.0, used 3.3184391839895397 seconds
INFO:root:> Time step 238, take action 4, instance reward 0.0, cumulative reward 2.0, used 3.3699541380628943 seconds
INFO:root:> Time step 239, take action 5, instance reward 0.0, cumulative reward 2.0, used 3.409010514849797 seconds
INFO:root:> Time step 240, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.4449117318727076 seconds
INFO:root:> Time step 241, take action 1, instance reward 0.0, cumulative reward 2.0, used 3.314546194858849 seconds
INFO:root:> Time step 242, take action 2, instance reward 0.0, cumulative reward 2.0, used 3.3410854989197105 seconds
INFO:root:> Time step 243, take action 3, instance reward 1.0, cumulative reward 3.0, used 3.3241559478919953 seconds
INFO:root:> Time step 244, take action 1, instance reward 0.0, cumulative reward 3.0, used 3.417709233937785 seconds
INFO:root:> Time step 245, take action 0, instance reward 0.0, cumulative reward 3.0, used 3.4124538260512054 seconds
INFO:root:> Time step 246, take action 4, instance reward 0.0, cumulative reward 3.0, used 3.3971469518728554 seconds
INFO:root:> Time step 247, take action 5, instance reward 0.0, cumulative reward 3.0, used 3.461840034928173 seconds
INFO:root:> Time step 248, take action 2, instance reward 0.0, cumulative reward 3.0, used 3.394329240079969 seconds
INFO:root:> Time step 249, take action 1, instance reward 0.0, cumulative reward 3.0, used 3.3072758819907904 seconds
INFO:root:> Time step 250, take action 4, instance reward 0.0, cumulative reward 3.0, used 3.370070053031668 seconds
INFO:root:> Time step 251, take action 1, instance reward 0.0, cumulative reward 3.0, used 3.28964835498482 seconds
INFO:root:> Time step 252, take action 4, instance reward 0.0, cumulative reward 3.0, used 3.364051050040871 seconds
INFO:root:> Time step 253, take action 0, instance reward 0.0, cumulative reward 3.0, used 3.285734359174967 seconds
INFO:root:> Time step 254, take action 4, instance reward 0.0, cumulative reward 3.0, used 3.3073982689529657 seconds
INFO:root:> Time step 255, take action 1, instance reward 0.0, cumulative reward 3.0, used 3.2990302881225944 seconds
INFO:root:> Time step 256, take action 4, instance reward 0.0, cumulative reward 3.0, used 3.327247044071555 seconds
INFO:root:> Time step 257, take action 0, instance reward 0.0, cumulative reward 3.0, used 3.3201128949876875 seconds
INFO:root:> Time step 258, take action 5, instance reward 0.0, cumulative reward 3.0, used 3.290121575118974 seconds
INFO:root:> Time step 259, take action 5, instance reward 0.0, cumulative reward 3.0, used 3.2872973999474198 seconds
INFO:root:> Time step 260, take action 2, instance reward 0.0, cumulative reward 3.0, used 3.308039982104674 seconds
